id,district,state,state_code,year,state_tier,population,population_density,urban_population_pct,rural_population_pct,sc_st_population_pct,working_age_population_pct,female_male_ratio,gdp_per_capita,gsdp_growth_rate,poverty_rate,unemployment_rate,average_household_income,tax_revenue_per_capita,credit_deposit_ratio,imr,mmr,u5mr,life_expectancy,hospital_beds_per_1000,doctors_per_1000,health_centres_count,immunization_coverage_pct,malnutrition_rate,health_alloc_cr,health_spent_cr,health_efficiency,literacy_rate,ger_primary,ger_secondary,ger_higher,dropout_rate_primary,dropout_rate_secondary,student_teacher_ratio,schools_per_1000,gender_parity_index,education_alloc_cr,education_spent_cr,education_efficiency,agricultural_land_pct,irrigation_coverage_pct,crop_yield_index,farmer_income_inr,msp_benefit_pct,kisan_credit_coverage,drought_frequency_index,agriculture_alloc_cr,agriculture_spent_cr,agriculture_efficiency,road_density,nh_connectivity_index,railway_density,electrification_rate,internet_penetration_pct,mobile_connectivity_pct,infrastructure_alloc_cr,infrastructure_spent_cr,infrastructure_efficiency,safe_water_access_pct,sanitation_coverage_pct,groundwater_stress_index,renewable_energy_pct,energy_consumption_per_capita,water_alloc_cr,energy_alloc_cr,health_outcome_score,education_outcome_score,agriculture_outcome_score,infrastructure_outcome_score,overall_welfare_score,citizen_satisfaction_score,health_need_index,education_need_index,infrastructure_need_index,overall_need_index,uplift_multiplier,absorption_capacity
39,Kalaburagi,Karnataka,KA,2021,A,928196,292,37.9,62.1,16.5,65.7,0.969,202239.0,8.2,23.5,5.0,207382.0,16545.0,81.1,35.7,97.0,55.3,69.1,2.63,1.0,81,84.6,25.1,584.64,462.39,0.791,76.8,94.7,78.0,37.8,3.9,14.2,26.0,5.31,1.003,712.4,497.71,0.699,29.3,68.5,82.5,111645.0,70.7,48.7,0.51,471.13,441.77,0.938,1.58,77.7,0.0515,96.4,48.5,76.6,848.57,671.91,0.792,78.7,74.2,0.63,23.8,1358.0,298.63,384.66,95.0,63.1,62.2,69.7,74.1,3.45,42.3,48.8,29.5,40.2,1.4,0.805
40,Kalaburagi,Karnataka,KA,2022,A,943192,883,41.5,58.5,26.3,69.2,0.938,205998.0,13.3,19.9,7.5,217141.0,16382.0,60.8,28.5,106.0,45.0,70.3,2.64,0.95,109,81.7,24.6,672.64,614.24,0.913,77.5,97.2,86.7,41.9,5.9,10.7,22.0,5.43,0.96,762.85,636.52,0.834,36.3,63.2,84.1,111040.0,78.0,54.3,0.4,494.42,400.21,0.809,1.45,74.5,0.0424,100.0,50.3,82.7,906.9,606.46,0.669,85.8,79.0,0.25,29.8,1363.0,305.07,405.25,95.0,72.2,68.4,69.4,77.6,3.86,39.1,48.0,28.0,38.4,1.4,0.806
41,Kalaburagi,Karnataka,KA,2023,A,959996,206,44.1,55.9,22.7,57.2,0.987,225314.0,12.4,22.6,4.1,236077.0,17759.0,98.8,26.3,88.0,33.8,72.7,2.31,0.98,165,82.7,23.4,691.62,682.38,0.987,77.2,99.7,87.3,36.1,2.3,8.2,25.0,5.89,0.988,809.55,599.33,0.74,39.6,80.0,86.3,115522.0,43.4,62.4,0.45,495.86,370.9,0.748,1.5,81.0,0.0517,97.1,62.6,89.6,1014.46,609.87,0.601,87.5,89.6,0.34,31.1,1432.0,336.55,406.16,95.0,72.6,70.4,75.2,79.5,3.64,36.8,45.5,22.9,35.1,1.4,0.769
42,Kalaburagi,Karnataka,KA,2024,A,963490,258,43.2,56.8,15.9,62.3,0.961,227045.0,6.6,25.8,2.7,245208.0,18680.0,56.2,27.4,93.0,42.5,73.6,2.69,1.02,129,88.1,20.0,716.31,520.35,0.726,79.0,96.6,82.0,41.0,5.2,11.8,22.0,5.22,0.983,879.48,761.73,0.866,33.9,75.5,88.9,123897.0,60.9,45.7,0.19,537.48,503.02,0.936,1.53,98.1,0.0573,100.0,61.4,87.0,1135.84,749.5,0.66,85.7,88.0,0.64,31.9,1510.0,354.13,451.96,95.0,70.9,74.3,79.3,80.9,3.78,31.6,47.2,18.5,32.4,1.4,0.797
43,Mangaluru,Karnataka,KA,2018,A,859195,243,38.1,61.9,17.2,67.6,0.944,164969.0,7.1,25.7,9.8,181197.0,14588.0,62.3,30.9,119.0,42.0,71.5,2.1,1.1,151,77.5,21.8,508.59,508.59,1.0,72.8,92.6,78.3,36.9,4.1,13.9,22.0,4.55,0.943,580.2,453.14,0.781,34.8,62.1,80.1,93190.0,79.0,51.4,0.41,395.23,376.92,0.954,1.27,80.7,0.0443,90.6,25.9,71.8,655.08,536.15,0.818,77.4,67.1,0.7,16.2,1225.0,245.63,287.34,95.0,53.2,63.4,55.5,68.4,3.46,41.5,54.9,42.2,46.2,1.4,0.888
44,Mangaluru,Karnataka,KA,2019,A,871695,181,36.2,63.8,11.6,59.8,0.954,171596.0,7.0,22.4,4.1,184669.0,14896.0,82.2,31.1,111.0,42.2,72.2,2.57,1.08,69,77.2,21.1,511.28,435.8,0.852,74.9,97.4,82.4,34.8,5.5,10.1,22.0,5.3,0.929,617.79,485.21,0.785,38.6,70.8,82.9,101879.0,51.8,53.9,0.61,418.83,400.07,0.955,1.31,81.3,0.0442,94.5,32.6,76.0,744.78,513.8,0.69,76.7,71.3,0.55,25.6,1253.0,263.95,316.99,95.0,59.0,56.9,60.2,69.7,3.38,39.1,52.0,37.0,42.7,1.4,0.82
45,Mangaluru,Karnataka,KA,2020,A,880687,495,39.6,60.4,14.1,58.0,0.942,179475.0,8.1,23.6,3.2,205241.0,15919.0,82.5,29.0,119.0,44.2,71.7,2.12,1.06,140,83.8,23.3,557.8,480.53,0.861,72.7,96.1,75.8,36.8,3.8,11.6,22.0,5.39,0.984,641.88,457.91,0.713,27.3,74.0,87.5,102416.0,44.3,63.0,0.71,444.46,363.52,0.818,1.3,58.1,0.035,92.5,38.4,74.6,789.72,755.92,0.957,80.1,79.3,0.63,21.9,1316.0,271.89,343.25,95.0,55.7,61.6,56.0,68.7,3.1,38.9,51.7,41.6,44.1,1.4,0.837
46,Mangaluru,Karnataka,KA,2021,A,896468,179,39.0,61.0,13.4,68.0,0.882,194557.0,11.8,26.9,10.8,216301.0,15776.0,89.3,33.3,110.0,41.7,71.5,2.69,1.17,96,79.9,20.5,618.9,575.95,0.931,75.2,91.9,80.3,38.3,6.1,12.0,23.0,5.33,0.948,725.66,577.06,0.795,33.7,67.2,90.9,108596.0,68.6,48.7,0.32,441.11,365.72,0.829,1.33,81.4,0.0534,98.3,47.5,80.1,826.32,700.97,0.848,84.2,76.4,0.45,30.2,1380.0,287.45,364.07,95.0,60.2,71.7,66.6,74.5,3.66,38.8,51.2,30.1,40.0,1.4,0.851
47,Mangaluru,Karnataka,KA,2022,A,904523,736,43.7,56.3,25.9,66.1,0.888,208029.0,9.5,21.4,6.9,211638.0,17105.0,74.9,27.7,91.0,35.3,69.4,2.5,1.18,49,81.5,21.7,661.78,516.65,0.781,75.6,96.8,79.7,35.1,5.1,11.6,24.0,5.64,0.993,723.74,573.78,0.793,26.3,65.1,91.8,115122.0,78.5,64.1,0.23,462.42,411.04,0.889,1.53,83.8,0.0536,99.2,57.3,79.6,954.91,878.84,0.92,80.9,83.4,0.39,33.7,1365.0,313.08,374.67,95.0,62.1,84.8,73.7,79.4,3.9,38.5,49.3,24.5,37.4,1.4,0.846
48,Mangaluru,Karnataka,KA,2023,A,924951,601,40.4,59.6,18.4,68.4,0.913,211443.0,12.1,22.5,10.2,223236.0,17673.0,54.0,26.3,102.0,37.8,72.5,2.39,1.09,96,92.3,19.0,672.1,532.18,0.792,77.3,94.5,87.2,38.7,5.6,7.0,25.0,5.91,0.97,815.09,672.39,0.825,42.4,75.3,86.8,111979.0,52.1,43.7,0.2,485.5,359.62,0.741,1.64,63.9,0.0426,100.0,57.0,83.5,972.86,923.73,0.949,88.2,83.5,0.59,32.8,1475.0,334.57,420.07,95.0,73.5,68.0,72.9,78.7,4.0,30.9,44.7,26.1,33.9,1.4,0.827
49,Mangaluru,Karnataka,KA,2024,A,927734,962,42.5,57.5,27.5,64.2,0.996,235773.0,7.3,23.9,8.1,250479.0,18751.0,81.2,26.1,100.0,32.4,72.9,2.8,1.1,124,88.3,19.7,720.29,687.77,0.955,79.5,100.5,80.7,45.9,4.7,7.9,21.0,5.37,1.023,841.67,766.54,0.911,28.3,77.5,83.4,118707.0,65.1,46.8,0.68,515.26,426.57,0.828,1.56,85.8,0.0441,99.1,70.1,88.7,1121.65,1098.92,0.98,84.1,85.7,0.6,38.7,1556.0,349.62,456.85,95.0,79.1,61.2,79.8,80.5,3.61,30.9,42.7,18.5,30.7,1.4,0.918
50,Mysuru,Karnataka,KA,2018,A,895555,2996,69.1,30.9,28.4,68.0,0.964,227199.0,13.0,20.5,4.1,185722.0,14189.0,78.2,31.4,131.0,44.0,70.7,3.09,1.88,127,78.1,22.3,483.67,483.67,1.0,81.6,97.5,76.0,37.8,6.1,13.5,28.0,4.89,0.928,605.97,553.48,0.913,36.5,60.3,85.1,93216.0,57.1,60.8,0.62,390.21,286.43,0.734,2.03,58.9,0.0807,92.5,43.7,72.5,725.07,665.94,0.918,71.8,74.6,0.43,18.7,1168.0,249.1,287.55,95.0,61.7,57.2,71.5,73.2,3.39,38.9,47.5,32.7,39.7,1.4,0.891
51,Mysuru,Karnataka,KA,2019,A,900580,4616,70.7,29.3,27.1,59.2,0.985,249175.0,12.1,21.0,8.2,195729.0,15140.0,84.9,34.0,120.0,47.7,68.8,3.19,1.92,141,77.9,26.2,523.88,479.31,0.915,82.8,97.0,83.5,34.3,6.2,8.7,26.0,5.34,0.969,621.07,595.84,0.959,28.1,59.4,89.5,98558.0,74.0,51.3,0.22,429.96,339.06,0.789,2.05,83.9,0.0772,92.6,50.6,76.8,778.0,672.0,0.864,73.1,76.4,0.6,24.1,1238.0,272.36,327.42,95.0,73.4,71.6,79.5,81.0,3.91,43.3,43.2,24.9,37.1,1.4,0.882
52,Mysuru,Karnataka,KA,2020,A,908897,4087,71.9,28.1,8.1,68.1,0.964,260621.0,8.2,21.5,10.5,195247.0,15833.0,88.6,29.3,96.0,41.5,72.5,3.27,1.82,83,83.2,21.6,591.98,504.49,0.852,82.6,92.1,84.8,34.9,2.9,12.6,25.0,5.12,0.961,686.96,510.16,0.743,40.8,70.4,85.7,102321.0,50.3,67.1,0.46,433.33,349.48,0.806,2.33,72.6,0.0874,93.1,52.5,74.0,806.82,538.84,0.668,74.0,80.2,0.71,26.9,1272.0,271.69,327.8,95.0,71.5,68.6,82.9,80.8,4.08,34.6,46.7,27.0,36.1,1.4,0.767
53,Mysuru,Karnataka,KA,2021,A,931139,2459,70.0,30.0,9.7,62.6,0.924,272039.0,11.0,25.7,3.0,200631.0,16678.0,79.0,27.4,96.0,33.3,70.5,3.58,1.84,96,86.3,21.7,632.29,630.02,0.996,81.4,97.7,80.6,43.5,4.3,14.8,26.0,5.05,0.976,739.97,706.24,0.954,26.0,72.8,85.5,101594.0,56.1,47.4,0.67,455.6,407.52,0.894,2.07,68.4,0.0758,94.4,58.7,77.4,883.39,615.32,0.697,80.2,77.8,0.73,30.7,1349.0,292.98,352.18,95.0,71.8,57.0,79.6,77.8,3.93,34.1,46.1,24.8,35.0,1.4,0.885
54,Mysuru,Karnataka,KA,2022,A,946617,8017,70.0,30.0,13.9,60.4,0.903,295480.0,7.0,24.3,3.1,211274.0,17260.0,76.4,34.0,102.0,41.9,73.0,3.3,2.03,66,89.5,17.3,653.72,626.12,0.958,85.9,99.3,85.2,43.7,3.0,8.8,23.0,5.28,0.976,757.35,553.74,0.731,37.6,65.7,86.0,111174.0,71.9,68.6,0.55,471.34,371.36,0.788,2.14,73.0,0.0813,95.2,66.7,88.6,991.83,715.04,0.721,78.4,78.8,0.44,33.6,1374.0,321.47,376.91,95.0,84.8,72.5,86.5,85.8,3.58,31.8,40.2,19.0,30.3,1.4,0.8
55,Mysuru,Karnataka,KA,2023,A,958505,4468,73.7,26.3,14.9,64.7,0.91,301435.0,13.5,26.7,10.0,232036.0,17844.0,69.1,28.1,90.0,40.9,70.9,3.29,1.98,144,86.3,17.8,677.47,504.71,0.745,84.2,97.6,84.0,43.0,3.5,12.8,22.0,5.47,1.008,779.47,557.44,0.715,41.2,70.0,92.9,110096.0,67.6,52.6,0.14,513.4,344.75,0.672,2.27,61.1,0.0779,98.8,70.9,91.6,974.07,753.49,0.774,81.2,83.1,0.76,29.8,1501.0,325.87,429.86,95.0,81.5,81.1,89.6,87.5,3.74,32.1,43.7,17.8,31.2,1.4,0.726
56,Mysuru,Karnataka,KA,2024,A,961656,2632,73.1,26.9,19.3,59.3,0.91,334612.0,8.6,20.7,8.8,238107.0,18715.0,109.3,29.7,103.0,36.2,70.8,3.53,1.9,138,93.2,19.6,735.76,735.76,1.0,85.6,96.9,82.5,46.3,4.1,11.9,25.0,5.44,0.994,871.57,693.98,0.796,39.1,81.1,93.0,123110.0,72.2,74.8,0.38,515.19,377.48,0.733,2.39,79.3,0.092,100.0,82.3,87.9,1134.26,905.46,0.798,84.0,85.9,0.65,34.9,1493.0,366.97,458.76,95.0,83.4,95.0,95.0,92.1,4.39,31.3,40.6,11.4,27.8,1.4,0.832
57,Shivamogga,Karnataka,KA,2018,A,856004,371,35.1,64.9,26.3,55.4,0.992,164226.0,10.3,25.4,7.9,178374.0,14527.0,42.7,30.5,119.0,43.3,71.6,2.01,1.06,63,78.9,21.5,481.36,341.86,0.71,73.0,96.4,77.4,34.9,6.4,13.6,25.0,4.76,0.973,587.06,440.74,0.751,30.4,69.9,77.7,99675.0,45.2,66.8,0.38,390.57,357.23,0.915,1.32,74.2,0.031,87.0,27.4,71.8,654.92,409.66,0.626,74.1,71.5,0.63,17.4,1170.0,254.05,287.44,95.0,54.1,62.2,54.4,68.1,3.39,40.9,52.7,44.4,46.0,1.4,0.75
58,Shivamogga,Karnataka,KA,2019,A,875096,197,40.4,59.6,10.9,66.0,0.973,171066.0,8.7,22.1,3.1,189148.0,15053.0,61.6,33.7,111.0,49.1,71.9,2.1,0.95,57,82.7,24.4,542.72,413.31,0.762,75.6,91.0,80.0,31.8,6.4,11.9,26.0,5.43,0.937,595.64,572.55,0.961,31.0,60.6,85.5,99771.0,41.2,47.0,0.12,407.74,375.17,0.92,1.53,80.2,0.0352,94.4,36.2,70.0,766.16,676.51,0.883,79.3,75.1,0.32,20.2,1262.0,254.3,313.17,95.0,55.6,57.3,64.0,69.9,3.06,41.8,51.7,35.2,42.9,1.4,0.882
59,Shivamogga,Karnataka,KA,2020,A,884342,216,39.3,60.7,25.2,66.5,0.961,177346.0,8.2,22.1,3.1,194849.0,15304.0,67.3,37.0,99.0,55.1,71.3,2.11,1.15,109,81.6,24.1,543.16,503.73,0.927,72.8,97.7,79.5,38.8,3.5,12.7,26.0,5.17,0.973,653.29,631.15,0.966,34.4,73.5,91.8,101832.0,49.2,53.2,0.68,421.48,328.45,0.779,1.52,68.9,0.0468,92.5,38.1,79.9,762.13,524.77,0.689,82.6,74.5,0.78,28.8,1280.0,265.61,344.07,95.0,58.5,62.2,63.4,71.4,3.28,43.8,50.9,35.9,43.5,1.4,0.84
60,Shivamogga,Karnataka,KA,2021,A,889063,726,41.6,58.4,8.0,67.2,0.897,186827.0,7.4,28.1,8.2,213396.0,16099.0,60.2,29.2,105.0,41.5,71.4,2.25,1.18,64,89.2,17.7,594.51,465.71,0.783,75.2,96.1,80.4,37.7,5.3,12.4,26.0,5.05,0.981,699.65,558.54,0.798,33.8,66.5,82.3,103804.0,44.2,65.3,0.56,468.72,401.82,0.857,1.34,94.3,0.0533,95.7,48.9,85.3,860.26,810.48,0.942,76.8,75.9,0.46,28.2,1375.0,303.7,356.75,95.0,62.4,57.9,69.8,73.1,3.29,33.9,49.2,27.2,36.8,1.4,0.845
61,Shivamogga,Karnataka,KA,2022,A,892462,214,41.8,58.2,11.6,62.6,0.979,205853.0,10.0,21.1,10.8,221651.0,16753.0,56.8,33.1,93.0,42.0,71.3,2.32,1.12,60,87.5,19.4,605.48,424.31,0.701,77.9,98.9,79.3,42.6,4.6,14.3,23.0,5.58,0.956,730.49,722.03,0.988,34.6,67.6,82.9,113399.0,65.8,54.0,0.77,456.88,317.72,0.695,1.64,70.4,0.043,98.2,57.2,80.0,967.12,868.5,0.898,79.8,84.1,0.43,29.2,1428.0,321.29,371.6,95.0,64.6,56.2,73.0,74.1,3.34,36.9,50.0,26.4,37.8,1.4,0.82
62,Shivamogga,Karnataka,KA,2023,A,909975,322,41.3,58.7,15.4,57.2,0.974,213899.0,7.6,25.7,9.2,229481.0,17308.0,78.3,27.6,88.0,41.2,69.7,2.26,0.96,66,83.2,24.7,667.54,473.76,0.71,76.0,100.0,83.2,39.6,5.5,9.4,23.0,5.21,0.983,769.35,689.91,0.897,29.3,73.7,83.1,112014.0,56.3,77.5,0.36,505.33,342.08,0.677,1.44,60.1,0.0461,97.9,56.7,90.1,951.75,764.38,0.803,83.8,85.1,0.54,31.0,1442.0,334.54,428.37,95.0,68.8,78.7,68.8,78.6,3.85,40.1,47.2,28.8,38.7,1.4,0.772
63,Shivamogga,Karnataka,KA,2024,A,916688,757,45.2,54.8,15.0,64.0,0.935,222494.0,10.7,22.3,3.8,240288.0,18545.0,75.4,24.7,93.0,36.6,73.0,2.63,1.04,134,90.8,16.4,723.24,566.43,0.783,78.5,94.7,84.9,46.3,5.0,13.2,26.0,5.11,1.005,821.88,785.02,0.955,28.2,81.7,92.8,123734.0,43.4,48.3,0.63,503.7,448.5,0.89,1.44,88.6,0.0493,100.0,68.0,89.4,1037.84,630.86,0.608,87.9,88.2,0.65,35.1,1511.0,345.27,421.02,95.0,76.8,64.8,77.9,80.1,3.77,28.3,45.1,19.2,30.9,1.4,0.809
64,Vijayapura,Karnataka,KA,2018,A,870469,195,41.0,59.0,21.0,60.3,0.899,159198.0,9.8,23.7,10.2,178103.0,14291.0,63.0,38.4,125.0,55.5,69.3,2.44,0.82,140,80.1,22.2,489.42,448.78,0.917,71.1,97.0,77.5,33.4,3.6,11.5,25.0,4.9,0.961,583.75,576.54,0.988,37.0,69.9,78.7,94024.0,53.5,57.8,0.7,379.78,230.74,0.608,1.46,59.6,0.0434,90.3,33.3,66.3,660.0,529.8,0.803,79.5,69.1,0.4,20.9,1231.0,253.16,310.48,95.0,51.3,53.5,55.8,66.0,3.51,44.2,53.2,43.7,47.0,1.4,0.829
65,Vijayapura,Karnataka,KA,2019,A,870692,683,39.5,60.5,25.9,59.0,0.904,174195.0,6.5,23.2,6.6,189912.0,15181.0,61.3,35.1,118.0,49.8,70.9,2.16,0.87,54,78.7,22.5,541.66,504.02,0.931,75.0,93.3,78.0,35.1,3.6,8.1,25.0,5.59,0.938,600.13,557.79,0.929,29.8,71.8,89.3,103203.0,56.4,62.5,0.43,417.0,313.1,0.751,1.3,74.4,0.0426,93.9,38.4,75.1,711.59,617.83,0.868,77.0,76.9,0.75,18.9,1272.0,251.64,312.32,95.0,57.7,73.0,59.8,72.5,3.23,43.4,48.9,37.5,43.3,1.4,0.87
66,Vijayapura,Karnataka,KA,2020,A,890388,626,41.1,58.9,8.0,57.8,0.952,183856.0,13.3,26.1,8.0,196773.0,15109.0,47.2,33.2,116.0,45.4,71.5,2.36,0.89,65,86.4,23.9,582.62,406.1,0.697,76.6,92.7,75.1,42.4,3.7,12.6,23.0,5.28,0.99,650.58,581.93,0.894,28.2,70.0,84.4,99785.0,52.5,44.2,0.73,429.76,289.32,0.673,1.41,67.4,0.0489,96.8,41.4,80.6,804.69,517.33,0.643,80.9,76.1,0.59,28.1,1293.0,285.88,347.18,95.0,63.2,49.9,63.4,70.1,3.38,39.3,48.2,34.3,40.6,1.4,0.727
67,Vijayapura,Karnataka,KA,2021,A,900106,270,39.4,60.6,29.6,64.6,0.885,190411.0,11.0,19.1,2.2,207539.0,16035.0,66.3,29.5,96.0,43.5,71.0,2.22,1.0,114,80.2,18.8,574.13,559.74,0.975,76.4,97.5,83.2,40.3,4.3,12.1,21.0,5.42,0.991,699.7,555.85,0.794,29.6,71.8,91.1,110826.0,53.7,68.8,0.49,468.92,366.03,0.781,1.48,80.5,0.051,98.8,43.7,76.0,901.15,713.67,0.792,82.1,78.8,0.26,29.6,1370.0,289.18,355.37,95.0,68.7,75.0,67.7,77.6,4.0,38.3,49.2,30.2,39.2,1.4,0.836
68,Vijayapura,Karnataka,KA,2022,A,917271,830,43.5,56.5,12.9,63.9,1.004,206137.0,9.3,24.9,5.1,214892.0,17348.0,85.0,32.2,96.0,39.3,69.3,2.48,1.16,109,89.4,17.4,633.16,471.59,0.745,76.0,92.6,86.5,37.0,5.9,10.0,27.0,5.45,1.008,712.31,654.93,0.919,41.9,65.2,82.5,110298.0,77.3,60.7,0.47,464.02,269.27,0.58,1.6,59.9,0.0507,100.0,51.1,85.7,893.16,733.73,0.822,79.6,84.4,0.38,29.7,1412.0,303.04,397.13,95.0,71.5,69.7,70.2,77.9,3.92,35.6,46.0,28.4,36.7,1.4,0.767
69,Vijayapura,Karnataka,KA,2023,A,918409,256,39.9,60.1,22.8,58.2,0.94,212915.0,12.0,20.1,9.9,236932.0,17201.0,76.8,25.6,93.0,38.0,72.1,2.57,1.04,93,83.5,22.5,686.89,641.22,0.934,76.0,95.1,81.3,36.3,3.4,12.6,26.0,5.52,0.987,756.65,727.4,0.961,23.8,79.6,89.8,113755.0,77.0,41.0,0.51,503.59,334.05,0.663,1.53,86.9,0.0545,97.0,64.4,84.1,980.21,671.83,0.685,80.4,81.2,0.79,31.0,1426.0,319.52,424.01,95.0,63.6,73.2,76.3,78.1,3.65,35.2,49.0,22.1,35.4,1.4,0.811
70,Vijayapura,Karnataka,KA,2024,A,939730,500,39.9,60.1,12.1,57.5,0.901,228224.0,7.8,22.2,4.3,249718.0,18664.0,74.0,27.2,88.0,37.1,72.7,2.52,1.25,161,87.4,20.7,704.94,514.74,0.73,77.5,94.6,87.8,38.8,3.6,10.7,25.0,5.48,1.02,837.89,687.6,0.821,24.5,73.4,96.1,121582.0,73.3,60.8,0.18,506.21,351.93,0.695,1.65,94.6,0.0479,100.0,65.2,90.1,1058.39,671.6,0.635,84.0,83.6,0.32,31.1,1530.0,344.55,464.95,95.0,76.1,90.9,82.6,86.4,4.35,33.3,46.0,16.2,31.8,1.4,0.72
71,Amravati,Maharashtra,MH,2018,A,1225409,714,46.0,54.0,18.1,55.1,0.975,186384.0,10.4,20.7,8.9,181205.0,14644.0,85.1,38.0,121.0,47.7,70.7,2.32,1.03,58,76.9,26.1,522.13,522.13,1.0,80.0,94.8,79.5,38.9,5.3,13.1,23.0,4.97,0.963,600.07,446.89,0.745,31.3,60.9,80.4,94286.0,76.3,55.3,0.23,392.51,331.49,0.845,1.31,87.0,0.0432,91.8,27.7,71.9,696.33,665.43,0.956,76.4,68.2,0.36,17.5,1214.0,247.44,306.65,95.0,66.3,68.3,58.4,73.3,3.49,46.6,48.4,39.4,44.8,1.4,0.886
72,Amravati,Maharashtra,MH,2019,A,1246533,348,47.7,52.3,24.9,65.2,0.897,189584.0,11.6,23.2,5.9,181911.0,14760.0,42.0,37.7,108.0,53.6,68.5,2.4,0.94,146,85.4,21.1,566.91,566.91,1.0,81.1,97.3,76.5,37.0,3.1,8.4,28.0,4.93,0.973,663.85,633.69,0.955,44.7,62.4,78.6,97923.0,45.2,36.9,0.35,436.26,346.89,0.795,1.33,80.9,0.0366,89.1,38.6,74.7,790.41,470.75,0.596,80.4,74.2,0.54,23.5,1275.0,270.19,327.65,95.0,67.8,43.9,60.1,69.3,3.6,42.1,42.5,38.3,41.0,1.4,0.836
73,Amravati,Maharashtra,MH,2020,A,1279896,321,46.3,53.7,23.3,60.7,0.906,207245.0,13.4,28.3,5.1,198889.0,15306.0,99.7,37.7,115.0,57.4,71.5,2.41,0.89,96,84.7,23.5,575.81,575.81,1.0,79.3,95.0,81.9,39.4,5.2,9.5,22.0,5.34,0.972,669.21,606.07,0.906,33.5,70.7,92.4,99358.0,40.8,68.2,0.53,455.06,408.87,0.898,1.52,96.2,0.0447,93.9,41.0,73.5,837.86,578.8,0.691,83.2,76.8,0.56,23.8,1263.0,273.76,345.11,95.0,70.7,69.1,68.8,77.2,3.86,41.5,46.2,30.3,39.3,1.4,0.874
74,Amravati,Maharashtra,MH,2021,A,1272010,379,49.7,50.3,27.3,64.5,0.906,223168.0,13.1,20.5,8.6,204814.0,16492.0,99.8,27.2,118.0,39.4,72.8,2.38,1.15,52,82.9,18.2,653.69,638.52,0.977,82.8,99.0,76.9,37.5,2.7,8.6,23.0,5.27,0.96,704.8,517.04,0.734,27.0,77.1,92.1,111861.0,57.6,49.1,0.66,463.76,321.74,0.694,1.39,60.3,0.0411,95.1,49.7,76.1,872.36,788.27,0.904,77.5,77.4,0.72,24.7,1316.0,301.11,364.76,95.0,69.3,66.3,62.3,74.7,3.56,34.2,44.0,35.5,37.9,1.4,0.827
75,Amravati,Maharashtra,MH,2022,A,1299705,311,46.0,54.0,20.4,62.8,0.901,233238.0,8.2,22.9,2.7,218084.0,16650.0,89.3,26.4,98.0,36.5,72.1,2.49,1.13,137,89.6,19.7,670.25,660.9,0.986,84.2,99.1,80.7,36.8,4.2,12.5,24.0,5.38,1.002,763.16,728.92,0.955,31.9,68.3,88.3,114053.0,45.0,46.9,0.77,481.0,382.75,0.796,1.53,78.0,0.0509,96.4,54.5,82.7,985.92,627.53,0.636,83.7,78.9,0.37,27.7,1377.0,327.9,389.63,95.0,74.7,49.3,71.5,74.9,3.4,32.2,44.1,27.1,34.5,1.4,0.843
76,Amravati,Maharashtra,MH,2023,A,1324857,271,49.4,50.6,10.3,61.4,0.989,243454.0,6.7,23.1,9.6,235169.0,17178.0,80.4,27.0,88.0,41.8,70.5,2.36,0.96,150,90.4,21.7,732.33,520.56,0.711,82.8,95.3,78.9,40.9,5.7,6.5,22.0,5.21,0.974,844.75,700.96,0.83,32.8,76.7,84.5,115435.0,57.2,63.9,0.8,529.68,387.3,0.731,1.65,65.2,0.0406,98.2,58.4,87.6,1059.92,1000.82,0.944,85.1,85.0,0.23,28.8,1464.0,337.07,440.49,95.0,75.4,64.1,73.9,78.6,3.31,34.8,41.5,25.4,33.9,1.4,0.804
77,Amravati,Maharashtra,MH,2024,A,1320377,1459,49.5,50.5,12.5,57.4,0.982,254069.0,10.9,19.8,3.6,238897.0,18550.0,63.5,31.2,80.0,47.1,70.7,2.66,1.16,159,87.9,16.8,727.7,713.69,0.981,83.9,99.2,81.3,40.7,1.9,13.5,25.0,6.03,0.984,874.83,784.83,0.897,29.6,79.6,98.2,124831.0,69.6,52.1,0.3,564.61,329.68,0.584,1.65,90.8,0.0545,100.0,64.1,89.4,1084.03,820.74,0.757,84.6,86.4,0.7,38.5,1490.0,355.41,475.4,95.0,75.1,87.6,81.4,85.1,3.88,33.8,44.4,17.4,31.9,1.4,0.805
78,Aurangabad,Maharashtra,MH,2018,A,1204979,488,44.7,55.3,20.8,61.7,0.99,180839.0,13.9,28.5,3.9,186201.0,14069.0,89.0,33.8,131.0,52.3,71.2,2.42,0.9,48,79.0,20.4,512.22,403.85,0.788,80.9,95.1,81.2,31.3,6.4,15.4,25.0,5.11,0.966,587.22,493.75,0.841,33.0,59.3,82.9,90898.0,41.0,40.4,0.77,403.21,381.84,0.947,1.33,64.0,0.0401,89.6,26.1,71.4,683.42,565.76,0.828,76.5,66.5,0.24,22.2,1197.0,241.94,315.86,95.0,63.0,34.8,53.0,64.5,3.47,40.5,50.3,45.4,45.4,1.4,0.851
